"id","site","site2","Ax","Ly","flwCt","flwGone","deerHerb","capsuleCt","fieldNote","nCapsulesHarvested","totalOvules","fullOvules"
"LP1000","beng","beng.hill",690619.227,188864.058,1,1,0,0,"status: 1",NA,NA,NA
"LP1001","beng","beng.hill",690618.56,188862.984,2,1,1,0,"status: DG2",NA,NA,NA
"LP1002","beng","beng.hill",690617.754,188864.015,1,1,1,0,"status: DG1",NA,NA,NA
"LP1003","beng","beng.hill",690617.21,188864.359,1,0,0,0,"status: 1",NA,NA,NA
"LP1004","beng","beng.hill",690620.021,188862.019,1,0,0,0,"status: 1",NA,NA,NA
"LP1005","beng","beng.hill",690621.18,188861.918,1,0,0,0,"status: 1",NA,NA,NA
"LP1006","beng","beng.hill",690621.478,188860.365,3,0,0,0,"status: 3",NA,NA,NA
"LP1007","beng","beng.hill",690622.34,188859.518,1,0,0,0,"status: 1",NA,NA,NA
"LP1008","beng","beng.hill",690620.555,188859.751,1,1,1,0,"status: DG1",NA,NA,NA
"LP1009","beng","beng.hill",690621.545,188859.029,0,1,0,0,"status: A1",NA,NA,NA
"LP101","hegg","hegg.hill",690177.63099185,188546.13139638,1,0,0,0,"status: 1",NA,NA,NA
"LP1010","beng","beng.hill",690622.714,188873.63,1,0,0,0,"status: 1",NA,NA,NA
"LP1011","beng","beng.hill",690631.609,188875.036,2,1,1,0,"status: DG2",NA,NA,NA
"LP1012","beng","beng.hill",690629.813,188879.812,1,0,0,1,"status: 1",1,215,15
"LP1013","beng","beng.hill",690628.265,188880.358,1,0,0,1,"status: 1",NA,NA,NA
"LP1014","beng","beng.hill",690654.404,188879.657,1,0,0,0,"status: 1",NA,NA,NA
"LP1015","beng","beng.hill",690654.539,188880.404,1,1,0,0,"status: CG1",NA,NA,NA
"LP1016","beng","beng.hill",690656.715,188878.859,1,0,0,1,"status: 1",1,386,107
"LP102","hegg","hegg.hill",690187.34438294,188549.5292282,1,1,1,0,"status: 1",NA,NA,NA
"LP103","hegg","hegg.hill",690152.26789672,188521.50196595,1,0,0,0,"status: 1",NA,NA,NA
"LP104","hegg","hegg.hill",690158.82953302,188516.74488243,1,1,0,0,"status: 1",NA,NA,NA
"LP105","hegg","hegg.hill",690166.78613363,188517.54493255,1,1,0,0,"status: 1",NA,NA,NA
"LP106","hegg","hegg.hill",690176.42745491,188500.07517444,1,1,0,0,"status: 1",NA,NA,NA
"LP107","hegg","hegg.hill",690255.76449134,188432.96364423,1,0,0,0,"status: 1",NA,NA,NA
"LP108","hegg","hegg.hill",690257.70073508,188430.1828312,3,1,1,0,"status: 3",NA,NA,NA
"LP109","hegg","hegg.hill",690257.47384795,188429.06449706,1,1,1,0,"status: 1",NA,NA,NA
"LP110","hegg","hegg.hill",690258.07893199,188429.15207796,1,1,1,0,"status: 1",NA,NA,NA
"LP1101","beng","hegg.ne",690749.88,188620.973,1,0,0,1,"status: 1",1,309,59
"LP1102","beng","beng.e",690733.436,188947.012,1,1,1,0,"status: DG1",NA,NA,NA
"LP1103","beng","beng.hill",690621.089,188859.552,1,1,1,0,"status: DG1",NA,NA,NA
"LP1104","beng","beng.hill",690626.082,188855.785,1,1,1,0,"status: DG1",NA,NA,NA
"LP1105","beng","beng.hill",690629.267,188857.102,1,1,1,0,"status: DG1",NA,NA,NA
"LP1106","beng","beng.hill",690562.242,188820.459,1,1,1,0,"status: DG1",NA,NA,NA
"LP1107","beng","beng.hill",690566.115,188800.65,1,0,0,0,"status: 1",NA,NA,NA
"LP1109","beng","beng.hill",690608.482,188913.98,1,0,0,0,"status: 1",NA,NA,NA
"LP111","hegg","hegg.hill",690257.14441537,188428.64688278,1,0,0,0,"status: 1",NA,NA,NA
"LP112","hegg","hegg.hill",690258.25081223,188428.02477651,1,1,0,0,"status: 1",NA,NA,NA
"LP113","hegg","hegg.hill",690258.66538565,188428.95483367,1,1,1,0,"status: 1",NA,NA,NA
"LP114","hegg","hegg.hill",690259.01687665,188429.19055139,1,1,1,0,"status: 1",NA,NA,NA
"LP115","hegg","hegg.hill",690258.37883465,188422.74521287,2,1,1,0,"status: 2",NA,NA,NA
"LP1150","beng","beng.hill",690625.214,188857.068,1,1,1,0,"status: DG1",NA,NA,NA
"LP1151","hegg","hegg.hill",690241.699,188336.822,1,1,1,0,"status: DG1",NA,NA,NA
"LP1152","wrrx","wrrx",682630.57765467,190979.70786905,1,0,0,0,"status: 1",NA,NA,NA
"LP1153","wrrx","wrrx",682631.11158816,190980.09828305,1,0,0,0,"status: 1",NA,NA,NA
"LP1154","hegg","hegg.hill",690292.984,188153.8,1,0,0,0,"status: 1",NA,NA,NA
"LP116","hegg","hegg.hill",690252.38571868,188338.86650432,1,1,0,0,"status: 1",NA,NA,NA
"LP117","hegg","hegg.hill",690254.72886681,188336.87958037,2,1,1,0,"status: 2",NA,NA,NA
"LP118","hegg","hegg.hill",690256.89164822,188335.82941477,1,1,1,0,"status: 1",NA,NA,NA
"LP119","hegg","hegg.hill",690264.61056654,188339.65326728,1,1,1,0,"status: 1",NA,NA,NA
"LP120","hegg","hegg.hill",690264.57338952,188339.92147668,1,0,0,0,"status: 1",NA,NA,NA
"LP1201","hegg","hegg.hill",690172.029,188546.621,1,0,0,0,"status: 1",NA,NA,NA
"LP1202","hegg","hegg.hill",690141.289,188542.749,2,0,0,1,"status: 2",1,464,34
